Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2020-08-03,107.44442749023438,231.06475830078125,91.24554443359375,162.27000427246094,126.19189453125,203.19000244140625,44.42502975463867,76.15140533447266,116.3499984741211,36.00615692138672,191.88755798339844,253.15048217773438,142.30014038085938,106.14010620117188,45.25482177734375,139.0540008544922,90.84752655029297,43.21298599243164,184.7470245361328,139.01150512695312,73.00877380371094,212.2758331298828,96.44693756103516,125.15837860107422,108.55937194824219,294.2502136230469,187.95558166503906,52.23501968383789,37.38510513305664,124.80744934082031
2020-08-04,108.16194915771484,227.54312133789062,90.90413665771484,165.07000732421875,125.94293212890625,201.41000366210938,44.905452728271484,77.6598892211914,117.29000091552734,37.11085891723633,194.0529022216797,254.7577667236328,141.1504669189453,107.44647979736328,46.032501220703125,138.9313201904297,90.32759857177734,43.57698059082031,189.4607391357422,139.75088500976562,72.23925018310547,209.08984375,95.46610260009766,127.54163360595703,107.32573699951172,295.1128234863281,189.53260803222656,52.846431732177734,37.24859619140625,127.066162109375
2020-08-05,108.55400085449219,225.5627899169922,93.05016326904297,174.27999877929688,129.2466278076172,202.63999938964844,44.58517074584961,78.29740142822266,127.61000061035156,37.712615966796875,196.8245391845703,254.38682556152344,144.49407958984375,107.11346435546875,45.83573532104492,140.0448760986328,91.89685821533203,44.0716438293457,189.36569213867188,143.5771484375,72.21270751953125,208.74671936035156,99.00697326660156,127.20797729492188,109.20466613769531,302.83709716796875,193.28799438476562,52.5087890625,37.13938903808594,125.29972839355469
2020-08-06,112.34136962890625,225.63751220703125,93.56716918945312,172.1999969482422,128.6912078857422,207.7899932861328,44.999656677246094,78.53984069824219,130.82000732421875,37.76649856567383,196.564697265625,256.1842956542969,146.1802520751953,107.68553924560547,45.816871643066406,139.24276733398438,91.92520904541016,44.314308166503906,193.09103393554688,144.17788696289062,71.6908187866211,212.08956909179688,98.52633666992188,126.51209259033203,107.93306732177734,304.3780517578125,195.91969299316406,52.7734260559082,37.21220016479492,124.85572814941406
2020-08-07,109.78721618652344,224.83416748046875,96.72769165039062,170.02000427246094,129.19874572753906,201.0500030517578,44.67937469482422,77.93824005126953,129.92999267578125,38.28742218017578,200.43344116210938,258.34326171875,148.60415649414062,108.09210205078125,45.3074836730957,140.23362731933594,93.9482421875,44.61296844482422,194.4405517578125,146.33131408691406,71.66429901123047,208.29579162597656,99.90933990478516,127.3128433227539,111.36825561523438,307.2564697265625,193.54428100585938,53.4122200012207,37.7855339050293,125.45417785644531
2020-08-10,111.3829574584961,222.4801788330078,99.12736511230469,179.41000366210938,135.99766540527344,197.16000366210938,44.96196746826172,80.56909942626953,128.7899932861328,40.236366271972656,201.50167846679688,261.2819519042969,152.74293518066406,109.9518814086914,46.430030822753906,139.6957244873047,95.13938903808594,44.538307189941406,193.984375,149.20565795898438,71.56700134277344,204.14907836914062,103.3913803100586,127.83716583251953,113.03839111328125,309.2626647949219,193.9680938720703,53.832008361816406,39.0050048828125,127.2978286743164
2020-08-11,108.07042694091797,219.1920623779297,100.72711944580078,180.1300048828125,136.48605346679688,191.99000549316406,44.453285217285156,80.4703369140625,130.49000549316406,39.966922760009766,203.1184539794922,261.4626159667969,153.5572967529297,109.64047241210938,45.458412170410156,138.69537353515625,98.14556884765625,44.734310150146484,194.8206787109375,150.9986114501953,71.56700134277344,199.375,103.10691833496094,127.00779724121094,113.79754638671875,305.8221740722656,194.93405151367188,53.39397048950195,38.085845947265625,125.67617797851562
2020-08-12,111.66207885742188,225.7963104248047,99.18588256835938,175.44000244140625,136.5243682861328,192.6199951171875,45.310516357421875,81.45803833007812,131.7899932861328,39.76934051513672,204.148193359375,267.796630859375,153.35610961914062,109.59722137451172,46.40172576904297,141.23391723632812,97.31367492675781,45.20096969604492,195.79005432128906,151.8119354248047,73.13262176513672,205.07057189941406,103.20499420166016,129.13365173339844,112.79167938232422,312.3349304199219,195.89015197753906,53.476097106933594,38.05854415893555,127.3074722290039
2020-08-13,113.63822937011719,224.6193084716797,97.95679473876953,174.72999572753906,134.70492553710938,195.13999938964844,40.24251937866211,80.6499252319336,130.9600067138672,39.90406036376953,200.54891967773438,267.87274169921875,153.17306518554688,108.15264129638672,45.80744171142578,139.66741943359375,96.77483367919922,45.154300689697266,196.23670959472656,153.29063415527344,73.89331817626953,204.5902099609375,104.4801025390625,129.43870544433594,113.18073272705078,311.60809326171875,195.0411834716797,53.403099060058594,37.31230545043945,127.79206848144531
2020-08-14,113.53694152832031,225.4186248779297,97.9470443725586,178.0800018310547,134.02503967285156,193.4600067138672,40.0352783203125,81.12580871582031,130.52999877929688,40.29924011230469,200.14471435546875,266.8170166015625,154.42556762695312,108.3602523803711,46.11873245239258,139.89389038085938,96.81265258789062,45.21963882446289,196.74986267089844,153.51248168945312,73.84022521972656,204.78628540039062,104.3918228149414,128.79046630859375,112.54493713378906,313.72088623046875,194.11325073242188,53.64949035644531,38.14044952392578,128.51901245117188
