Date,Adj Close
2020-07-01,1773.199951171875
2020-07-02,1784.0
2020-07-06,1788.5
2020-07-07,1804.199951171875
2020-07-08,1815.5
2020-07-09,1799.199951171875
2020-07-10,1798.199951171875
2020-07-13,1811.0
2020-07-14,1810.5999755859375
2020-07-15,1811.4000244140625
2020-07-16,1798.699951171875
2020-07-17,1808.300048828125
2020-07-20,1815.9000244140625
2020-07-21,1842.4000244140625
2020-07-22,1864.0999755859375
2020-07-23,1889.0999755859375
2020-07-24,1897.300048828125
2020-07-27,1931.0
2020-07-28,1944.699951171875
2020-07-29,1953.5
2020-07-30,1942.300048828125
2020-07-31,1962.800048828125
2020-08-03,1966.0
2020-08-04,2001.199951171875
2020-08-05,2031.0999755859375
2020-08-06,2051.5
2020-08-07,2010.0999755859375
2020-08-10,2024.4000244140625
2020-08-11,1932.5999755859375
2020-08-12,1934.9000244140625
2020-08-13,1956.699951171875
2020-08-14,1937.0
2020-08-17,1985.0
2020-08-18,1999.4000244140625
2020-08-19,1958.699951171875
2020-08-20,1933.800048828125
2020-08-21,1934.5999755859375
2020-08-24,1927.699951171875
2020-08-25,1911.800048828125
2020-08-26,1940.699951171875
2020-08-27,1921.5999755859375
2020-08-28,1964.5999755859375
2020-08-31,1967.5999755859375
2020-09-01,1968.199951171875
2020-09-02,1934.4000244140625
2020-09-03,1927.5999755859375
2020-09-04,1923.9000244140625
2020-09-08,1933.0
2020-09-09,1944.699951171875
2020-09-10,1954.199951171875
2020-09-11,1937.800048828125
2020-09-14,1953.0999755859375
2020-09-15,1956.300048828125
2020-09-16,1960.199951171875
2020-09-17,1940.0
2020-09-18,1952.0999755859375
2020-09-21,1901.199951171875
2020-09-22,1898.5999755859375
2020-09-23,1859.9000244140625
2020-09-24,1868.300048828125
2020-09-25,1857.699951171875
2020-09-28,1872.800048828125
2020-09-29,1894.300048828125
2020-09-30,1887.5
2020-10-01,1908.4000244140625
2020-10-02,1900.199951171875
2020-10-05,1912.5
2020-10-06,1901.0999755859375
2020-10-07,1883.5999755859375
2020-10-08,1888.5999755859375
2020-10-09,1919.5
2020-10-12,1922.5
2020-10-13,1888.5
2020-10-14,1901.300048828125
2020-10-15,1903.199951171875
2020-10-16,1900.800048828125
2020-10-19,1906.4000244140625
2020-10-20,1910.4000244140625
2020-10-21,1924.5999755859375
2020-10-22,1901.0999755859375
2020-10-23,1902.0
2020-10-26,1902.699951171875
2020-10-27,1908.800048828125
2020-10-28,1876.199951171875
2020-10-29,1865.5999755859375
2020-10-30,1877.4000244140625
2020-11-02,1890.4000244140625
2020-11-03,1908.5
2020-11-04,1894.5999755859375
2020-11-05,1945.300048828125
2020-11-06,1950.300048828125
2020-11-09,1853.199951171875
2020-11-10,1875.4000244140625
2020-11-11,1860.699951171875
2020-11-12,1872.5999755859375
2020-11-13,1885.699951171875
2020-11-16,1887.300048828125
2020-11-17,1884.5
2020-11-18,1873.5
2020-11-19,1861.0999755859375
2020-11-20,1872.5999755859375
2020-11-23,1837.800048828125
2020-11-24,1804.800048828125
2020-11-25,1805.699951171875
2020-11-27,1781.9000244140625
2020-11-30,1775.699951171875
2020-12-01,1814.0999755859375
2020-12-02,1825.699951171875
2020-12-03,1836.800048828125
2020-12-04,1835.9000244140625
2020-12-07,1861.800048828125
2020-12-08,1870.800048828125
2020-12-09,1834.5999755859375
